Time   ,Temperature ,Humidity ,Pressure ,Altitude ,Acceleration                    ,Gyro                                    ,Magnetometer
43.43,21.2412,43.2044,990.04,194.862,"(3.93499, 8.58783, 0.634098)","(0.0540616, -0.0647517, -0.100335)","(-10.6694, -60.1578, -56.0216)"
43.758,21.2514,42.8235,990.073,194.873,"(3.99721, 8.87617, 0.967896)","(0.045204, 0.0183259, -0.0297797)","(-9.98246, -60.3771, -56.1824)"
44.083,21.2514,42.6712,990.048,194.979,"(3.92782, 8.74696, 0.479761)","(-0.0962113, 0.0229074, 0.0610865)","(-11.0348, -60.2163, -54.5747)"
44.406,21.2412,43.0901,990.05,194.979,"(4.21136, 8.5986, 0.935593)","(-0.0224493, 0.0117592, 0.0184787)","(-10.9325, -59.8071, -56.8401)"
44.729,21.2514,42.8779,990.072,195.031,"(4.17428, 8.65364, 0.843469)","(0.0219911, 0.0702495, 0.0415388)","(-11.0786, -59.0032, -57.6001)"
45.065,21.2412,42.6494,990.062,194.873,"(4.08335, 8.54118, 0.561116)","(0.0690278, -0.0224493, -0.0523817)","(-11.1956, -59.6317, -56.2993)"
45.522,21.2055,42.9917,990.051,194.936,"(4.26401, 8.69432, 0.628116)","(-0.00320704, -0.189826, 0.0407752)","(-11.9848, -59.6463, -55.4516)"
45.847,21.231,43.1444,990.077,194.979,"(4.11206, 8.53519, 0.355334)","(-0.0119119, -0.0352775, -0.0109956)","(-12.1894, -59.7048, -55.1739)"
46.175,21.2412,42.5894,990.056,194.852,"(4.18146, 8.81276, 0.378066)","(-0.00122173, -0.0311541, 0.00687223)","(-12.4525, -59.7632, -54.0193)"
46.502,21.2412,42.8018,990.051,194.862,"(4.52841, 8.67278, 0.558724)","(0.0517708, 0.235183, 0.0389426)","(-12.5694, -59.2955, -54.1216)"
46.83,21.2412,42.8887,990.052,194.979,"(4.84187, 8.48853, 0.634098)","(-0.0734565, 0.154091, 0.0600175)","(-14.3671, -57.4539, -55.9924)"
47.157,21.2463,42.9759,990.055,194.926,"(4.60857, 8.3653, 0.741775)","(-0.0719294, -0.220217, 0.00458149)","(-14.411, -57.3955, -55.4516)"
47.491,21.2463,42.6764,990.082,194.958,"(4.62532, 8.44187, 0.635294)","(-0.0381791, -0.0213803, 0.0456622)","(-14.4548, -57.3078, -55.4662)"
47.819,21.2361,42.7636,990.059,194.725,"(4.64566, 8.2983, 0.665204)","(-0.0503964, -0.0751364, 0.00870483)","(-14.9518, -57.4247, -55.5685)"
48.277,21.2055,42.6761,990.069,195.053,"(4.59063, 8.22054, 0.692722)","(-0.0352775, -0.132405, 0.0494801)","(-14.5279, -57.7024, -55.3639)"
48.599,21.231,42.7144,990.017,195.243,"(4.7342, 8.50648, 0.704686)","(0.0, -0.029627, 0.0189368)","(-15.1856, -56.9863, -56.1532)"
48.921,21.231,42.7526,990.047,194.968,"(4.85743, 8.28514, 0.984646)","(0.0108429, -0.211818, -0.0471893)","(-15.2002, -57.5563, -56.1093)"
49.245,21.2361,42.6111,990.075,194.852,"(4.7665, 8.534, 0.598205)","(0.0868956, 0.046273, -0.0589485)","(-14.9371, -57.9947, -55.3639)"
49.568,21.2412,42.8234,990.093,194.852,"(4.54397, 8.30907, 0.446261)","(0.0273362, 0.0604756, 0.00274889)","(-14.7179, -57.8632, -54.4577)"
49.898,21.231,43.0845,990.092,194.767,"(5.10748, 9.667, 1.98724)","(0.559705, 0.0598648, -0.00931569)","(-13.4171, -58.5501, -58.0532)"
50.222,21.226,43.0191,990.063,195.042,"(4.1336, 8.41914, 0.516849)","(-0.0255036, 0.285732, -0.00778853)","(-12.2625, -59.9094, -53.6393)"
50.675,21.1852,42.9589,990.088,194.651,"(4.25563, 8.75892, 0.366102)","(0.0696386, -0.109803, -0.103083)","(-11.9556, -60.0994, -54.2677)"
50.998,21.2055,42.9374,990.077,195.01,"(3.95773, 8.56032, 0.235693)","(-0.0302378, -0.0879646, 0.0251982)","(-11.2686, -60.4794, -53.8147)"
51.325,21.2209,42.9266,990.081,195.053,"(4.23888, 8.60578, 0.299103)","(0.0453567, 0.124464, 0.0945314)","(-12.0871, -59.5148, -54.4724)"
51.656,21.226,42.4913,990.074,194.915,"(4.20778, 8.67637, 0.398405)","(-0.0749837, 0.01237, -0.00580322)","(-12.4379, -59.3394, -53.6539)"
51.98,21.231,42.9321,990.061,194.989,"(4.18026, 8.60339, 0.464207)","(0.0519235, -0.0397062, 0.00397062)","(-12.131, -59.7632, -54.297)"
52.305,21.2209,43.0463,990.05,194.683,"(4.26999, 8.65962, 0.473778)","(0.00213803, 0.0792598, 0.0142026)","(-11.7509, -59.5001, -54.0485)"
52.628,21.226,42.8177,990.059,194.894,"(4.16949, 8.53519, 0.380459)","(0.000763581, -0.0384845, -0.0152716)","(-12.1894, -59.3686, -54.5747)"
53.086,21.1801,43.0241,990.04,195.201,"(4.1336, 8.56391, 0.300299)","(-0.00122173, 0.00809396, -0.0232129)","(-11.7948, -59.8363, -54.6331)"
53.411,21.2055,43.1385,990.053,194.894,"(4.16829, 8.6668, 0.417547)","(0.0177151, 0.0722348, -0.00946841)","(-11.941, -59.5148, -55.247)"
53.734,21.2158,42.9102,990.049,195.053,"(4.13479, 8.74456, 0.428315)","(0.0523817, -0.0270308, -0.0823141)","(-11.7948, -60.494, -54.8962)"
54.068,21.2107,42.9482,990.039,195.127,"(3.64427, 8.60339, 0.539581)","(0.0406225, 0.0465785, -0.0513127)","(-10.7279, -60.5232, -54.5454)"
54.39,21.2107,43.0299,990.07,195.031,"(3.90389, 9.11306, 0.339781)","(-0.0190895, 0.0482583, -0.0380264)","(-9.39783, -61.6048, -54.4431)"
54.714,21.226,43.1931,990.07,194.958,"(3.42891, 8.60578, -0.00478564)","(-0.253662, -0.606436, 0.0383318)","(-9.4563, -61.8971, -52.6893)"
55.039,21.2107,43.215,990.07,194.788,"(3.49232, 8.98863, 0.104088)","(0.00626137, -0.0916298, -0.0386372)","(-8.69629, -61.6779, -52.6454)"
55.363,21.2055,43.3291,990.066,194.947,"(3.64786, 9.12383, 0.222532)","(0.0471893, 0.076969, -0.0297797)","(-8.57936, -61.9263, -53.5662)"
55.819,21.1648,43.3014,990.056,194.852,"(3.55214, 8.93121, -0.0538385)","(0.0100793, 0.0612392, 0.0299324)","(-9.85092, -61.7655, -52.2654)"
56.146,21.2004,43.231,990.053,195.105,"(3.99362, 8.79123, -0.066999)","(-0.0348193, 0.177151, 0.0859793)","(-10.4209, -61.1517, -53.1131)"
56.477,21.2107,43.231,990.028,194.841,"(3.84407, 8.70867, 0.111266)","(-0.0771217, 0.0374155, 0.135154)","(-10.3625, -60.684, -53.7562)"
56.801,21.2107,43.2094,990.048,194.841,"(3.78305, 8.76969, 0.191426)","(-0.0450513, 0.00366519, 0.0650571)","(-10.8448, -60.0994, -54.5308)"
57.128,21.2004,42.872,990.071,195.201,"(3.93619, 8.73978, 0.528813)","(0.150731, 0.0726929, 0.00458149)","(-10.9325, -60.9325, -54.9108)"
57.452,21.2055,43.1387,990.046,194.989,"(4.04626, 8.7661, 0.655633)","(-0.0413861, 0.0966694, -0.13943)","(-10.4502, -60.4501, -54.7208)"
57.774,21.1953,42.9155,990.076,194.947,"(3.8321, 8.4646, 0.166301)","(-0.0476475, -0.166155, -0.00427606)","(-10.8155, -60.4209, -54.2823)"
58.225,21.1496,43.0946,990.075,194.757,"(4.24008, 8.56391, 0.520439)","(0.146149, -0.0551306, 0.00702495)","(-11.4148, -60.2748, -55.6416)"
58.546,21.1953,43.1331,990.07,195.0,"(3.68853, 8.41077, -0.17348)","(0.0387899, 0.157756, 0.00641408)","(-12.3648, -60.4355, -53.0839)"
58.875,21.1953,43.1439,990.084,194.915,"(4.63729, 8.65005, 0.87338)","(0.200058, 0.202807, -0.0250455)","(-12.6133, -60.0409, -55.2178)"
59.196,21.2004,43.1167,990.067,195.264,"(4.09412, 8.37248, 0.183051)","(-0.0813978, 0.0610865, 0.141721)","(-12.2625, -60.0848, -53.7123)"
59.519,21.1902,43.1004,990.066,195.0,"(4.33699, 8.87976, 0.468993)","(0.0508545, -0.111483, -0.211207)","(-11.1079, -60.2309, -54.7208)"
59.841,21.1902,43.2365,990.046,194.841,"(4.39801, 7.78145, 1.05045)","(0.0481056, -0.108123, -0.119424)","(-14.3671, -59.047, -54.5016)"
60.165,21.1852,43.0295,990.034,194.884,"(4.48175, 9.43011, -0.0610169)","(0.104305, 0.222508, -0.133169)","(-11.4733, -60.0555, -52.8793)"
60.622,21.1395,42.8987,990.083,194.968,"(4.10728, 8.59621, 0.112463)","(0.085063, 0.0989602, 0.227395)","(-11.6633, -60.2894, -52.9377)"
60.942,21.1801,43.084,990.062,194.81,"(4.35613, 8.62014, 0.844666)","(-0.172875, 0.0167988, 0.0939205)","(-12.4086, -59.354, -56.197)"
61.274,21.1902,42.9153,990.086,194.958,"(4.2676, 8.1332, 0.12323)","(0.0456622, -0.0609338, 0.274126)","(-13.1687, -58.8424, -54.0924)"
61.596,21.2004,42.9317,990.03,194.884,"(5.01655, 8.64407, 0.967896)","(0.0210748, -0.0936151, 0.465021)","(-16.1356, -56.577, -55.1301)"
61.92,21.1902,43.0677,990.04,195.127,"(5.36351, 7.47039, 0.222532)","(-0.159589, -0.198073, 0.0838412)","(-18.0064, -55.5977, -53.7416)"
62.246,21.1852,43.1929,990.042,195.201,"(5.84566, 8.14756, 0.815952)","(-0.0784962, -0.393855, 0.225257)","(-19.658, -54.3262, -54.677)"
62.567,21.1852,43.1113,990.013,195.285,"(5.9677, 7.85443, -0.0622133)","(0.0273362, 0.0184787, -0.0180205)","(-20.7395, -53.4493, -53.6539)"
62.888,21.1852,43.1004,990.066,195.053,"(5.87796, 7.68096, 0.361316)","(-0.131641, 0.350178, 0.446848)","(-20.9442, -52.4408, -53.4054)"
63.346,21.1445,43.3446,990.032,194.947,"(5.84207, 7.55892, 0.206979)","(0.0789543, 0.217163, -0.0378736)","(-20.5642, -53.5808, -54.1508)"
63.677,21.175,42.8553,990.044,195.053,"(5.95573, 7.26939, -0.302692)","(-0.00580322, 0.0261145, -0.0708604)","(-20.4618, -53.5662, -54.0047)"
64.003,21.1801,43.1873,990.031,195.116,"(5.7009, 7.75274, 0.288335)","(0.0297797, 0.0838412, -0.032834)","(-20.798, -53.7708, -53.4346)"
64.329,21.1902,43.0784,990.058,194.979,"(5.88036, 7.44287, 0.0550349)","(-0.054367, -0.0630718, -0.0119119)","(-20.5495, -53.1131, -53.6246)"
64.649,21.1801,43.2853,990.056,194.884,"(5.84686, 7.60798, -0.0275174)","(0.00488692, 0.0817032, -0.0320704)","(-20.7249, -53.2739, -53.9316)"
64.971,21.1699,43.0894,990.049,194.958,"(5.90668, 7.64865, 0.141176)","(0.021533, -0.0675006, 0.0343612)","(-20.7542, -52.4262, -52.8062)"
65.295,21.1699,43.0404,990.07,195.137,"(6.02512, 7.71565, -0.0693918)","(0.0230602, -0.0972803, 0.00962113)","(-21.748, -52.6308, -52.9962)"
65.752,21.1191,43.1542,990.054,195.158,"(5.93539, 7.61156, 0.2668)","(0.0172569, 0.193797, 0.0348193)","(-20.8565, -52.1923, -52.7477)"
66.084,21.1496,43.2957,990.034,195.084,"(6.05862, 7.36152, -0.0681954)","(-0.0264199, -0.102931, 0.0537561)","(-21.0903, -51.3885, -53.4054)"
66.41,21.1648,43.0402,990.053,195.074,"(6.25244, 7.42134, 0.117248)","(-0.00412334, 0.0178678, -0.0256563)","(-21.8503, -51.2715, -53.1277)"
66.735,21.1598,43.1708,990.059,194.968,"(6.22612, 7.48953, 0.35653)","(0.0320704, 0.0074831, -0.0329867)","(-21.7042, -50.8038, -53.9024)"
67.058,21.1648,43.0836,990.045,195.116,"(6.27398, 7.45842, 0.300299)","(0.03711, 0.0867428, 0.0146608)","(-21.8796, -50.6431, -53.7562)"
67.384,21.1598,43.3231,990.035,194.968,"(6.18664, 7.37946, 0.297906)","(-0.000610865, 0.115148, -0.0190895)","(-21.9234, -50.4531, -54.2823)"
67.708,21.1547,43.1979,990.039,195.127,"(6.15912, 7.32801, 0.205783)","(-0.0956004, -0.17822, 0.0784962)","(-22.2449, -50.5846, -53.7708)"
68.167,21.1141,42.9689,990.045,195.074,"(6.04546, 7.14257, 0.273978)","(-0.149356, -0.110414, 0.0238237)","(-22.5519, -50.3946, -53.5808)"
68.493,21.1395,42.9039,990.037,194.915,"(6.27876, 7.45124, 0.0287139)","(-0.00580322, 0.00534507, -0.00137445)","(-22.5811, -50.6431, -52.8208)"
68.813,21.1445,43.1325,990.026,195.201,"(6.33739, 7.18445, 0.168694)","(-0.207541, -0.134238, -0.0471893)","(-22.8296, -50.3215, -52.6308)"
69.135,21.1445,42.9094,990.058,194.947,"(6.15075, 7.32084, 0.416351)","(0.0997237, -0.102014, 0.0734565)","(-23.078, -49.81, -52.7477)"
69.459,21.1395,43.0726,990.058,194.736,"(6.31705, 7.32682, 0.400797)","(0.0997237, 0.136834, -0.0287107)","(-23.0488, -50.3654, -53.6539)"
69.781,21.1445,43.0672,990.021,194.936,"(6.29192, 7.35314, 0.400797)","(0.08827, 0.0713185, -0.00626137)","(-22.4934, -50.2631, -52.7623)"
70.112,21.1395,43.3555,990.037,195.169,"(6.37089, 7.27059, 0.229711)","(-0.0158825, 0.0467312, 0.000305433)","(-23.0342, -50.2484, -53.4346)"
70.562,21.0938,43.17,990.045,195.074,"(6.34456, 7.40817, 0.285942)","(-0.15516, -0.118966, 0.0510072)","(-23.2534, -50.19, -53.3031)"
70.886,21.1242,43.056,990.057,195.127,"(6.32183, 7.26101, 0.0717846)","(-0.0972803, -0.133321, -0.00244346)","(-22.698, -50.0, -52.7185)"
71.207,21.1344,42.9964,990.039,195.201,"(6.37089, 7.45244, 0.288335)","(0.106901, 0.0171042, -0.0609338)","(-22.9319, -51.0085, -54.1362)"
71.528,21.1344,42.7951,990.05,194.926,"(6.36251, 7.39501, 0.17348)","(0.0520762, -0.0111483, -0.0331394)","(-22.8442, -50.7746, -52.587)"
71.852,21.1293,42.9801,990.055,194.746,"(6.3338, 7.30409, 0.155533)","(0.0233656, 0.0786489, 0.00335976)","(-23.1219, -51.2423, -52.3239)"
72.175,21.1344,42.8385,990.053,195.38,"(6.26201, 7.45484, 0.366102)","(-0.0539089, -0.086132, -0.00167988)","(-21.9234, -51.4323, -53.0985)"
72.508,21.1242,43.0562,990.065,194.979,"(6.14237, 7.53499, 0.277567)","(0.0707076, 0.057574, 0.00458149)","(-22.1865, -50.6723, -52.85)"
72.833,21.1242,42.8766,990.039,195.053,"(6.23569, 7.45124, 0.196211)","(0.0552833, -0.0143553, 0.0184787)","(-22.1134, -50.6723, -53.0985)"
73.29,21.0785,43.295,990.047,195.042,"(6.15194, 7.3328, 0.287138)","(0.0198531, -0.0568105, -0.0361938)","(-22.3034, -51.2277, -52.3677)"
73.613,21.1191,42.9254,990.042,195.0,"(6.12921, 7.36989, 0.228514)","(-0.0248928, 0.025809, 0.0655153)","(-22.2596, -51.0231, -53.2447)"
73.935,21.1141,42.9852,990.07,194.968,"(6.24646, 7.42851, 0.226122)","(0.00763582, -0.0131336, 0.00213803)","(-21.8065, -50.76, -52.4262)"
74.259,21.1242,42.8166,990.05,194.884,"(6.19501, 7.48474, 0.302692)","(0.046273, 0.0717766, -0.0172569)","(-21.9088, -51.3739, -53.0108)"
74.583,21.1242,42.9418,990.05,195.222,"(6.05144, 7.3328, 0.302692)","(-0.0653626, -0.0911716, 0.029627)","(-21.368, -50.9062, -53.1862)"
74.907,21.1141,43.1486,990.065,195.201,"(6.2345, 7.48116, 0.394816)","(0.00580322, -0.0320704, -0.0335976)","(-21.5434, -51.2277, -53.7123)"
75.232,21.1141,42.8711,990.062,194.862,"(6.13519, 7.44765, 0.345763)","(-0.00885754, -0.0507018, -0.0409279)","(-21.2365, -51.6662, -52.7769)"
75.694,21.0684,43.3384,990.06,194.905,"(6.17707, 7.47039, 0.155533)","(0.0198531, 0.00274889, 0.00519235)","(-22.1426, -51.1254, -51.8416)"
76.018,21.1039,43.0722,990.046,194.704,"(6.1974, 7.56012, 0.168694)","(-0.00962113, -0.0238237, -0.0261145)","(-22.1134, -50.95, -53.2447)"
76.342,21.1141,43.0396,990.076,195.042,"(6.11844, 7.70488, 0.0430708)","(0.000152716, -0.0158825, -0.0332921)","(-21.4265, -52.2654, -52.6454)"
76.667,21.1242,43.2246,990.063,194.841,"(6.12323, 7.6319, 0.234496)","(-0.00870483, -0.00503964, 0.0374155)","(-21.5726, -51.8854, -52.5285)"
76.993,21.1242,43.0069,990.076,194.651,"(6.02273, 7.52064, 0.120837)","(0.00717767, 0.0384845, 0.0146608)","(-21.2657, -52.0608, -52.8354)"
77.318,21.1141,43.2246,990.063,194.757,"(5.95095, 7.56849, 0.273978)","(0.000763581, 0.0352775, 0.00137445)","(-21.178, -51.4908, -52.09)"
77.643,21.1191,42.822,990.065,194.852,"(5.98804, 7.65942, 0.425922)","(-0.032834, 0.0142026, 0.022602)","(-21.0465, -51.3885, -53.0546)"
78.112,21.0785,42.9956,990.065,195.021,"(5.799, 7.75872, 0.393619)","(0.0594066, 0.0705549, -0.0409279)","(-20.0965, -52.7623, -53.61)"
78.437,21.1039,43.2734,990.055,195.074,"(5.82173, 7.74078, 0.285942)","(0.0487165, 0.0642935, -0.0302378)","(-20.2865, -52.7769, -53.6246)"
78.761,21.1039,42.8655,990.058,194.81,"(5.69372, 7.75633, 0.358923)","(0.00412334, -0.019395, 0.0293215)","(-19.7749, -53.3616, -54.7062)"
79.085,21.1141,43.3605,990.064,194.873,"(5.80618, 7.71924, 0.428315)","(0.0169515, 0.0313068, 0.0299324)","(-19.7749, -52.9962, -53.9608)"
79.409,21.1141,43.1104,990.054,195.222,"(5.80259, 7.70488, 0.525224)","(0.0427606, 0.0265726, 0.0103847)","(-20.3303, -52.5577, -53.3762)"
79.732,21.1191,43.1974,990.037,195.084,"(6.02991, 7.66181, 0.540777)","(0.00137445, 0.057574, 0.0200058)","(-20.4618, -52.4115, -55.247)"
80.058,21.1039,43.4149,990.012,194.926,"(5.86241, 7.47876, 0.602991)","(0.127365, 0.0264199, -0.00549779)","(-20.0088, -51.9877, -54.2385)"
80.393,21.1141,43.1539,990.016,195.148,"(5.75473, 7.54457, 0.631705)","(-0.0392481, -0.0969748, 0.0375682)","(-20.0088, -52.2362, -55.0278)"
80.856,21.0734,42.8815,990.028,195.327,"(5.77986, 7.55174, 0.630508)","(0.0174097, -0.0618501, -0.0468839)","(-20.038, -52.1046, -54.6039)"
81.182,21.0988,42.8327,990.042,195.317,"(5.88993, 7.59123, 0.447458)","(0.0177151, -0.0346666, 0.0103847)","(-19.658, -52.2216, -54.4431)"
81.506,21.109,43.0395,990.052,195.031,"(5.88155, 7.56251, 0.455832)","(0.0271835, 0.0126754, -0.00977384)","(-20.7688, -51.6369, -53.727)"
81.83,21.1141,42.9634,990.0,195.497,"(5.97128, 7.60199, 0.144766)","(0.00335976, -0.0259618, 0.0164934)","(-20.5057, -51.6077, -53.6831)"
82.156,21.109,43.1756,990.01,195.359,"(6.0658, 7.5661, 0.0957129)","(-0.0158825, -0.0591012, -0.0216857)","(-20.8711, -52.0462, -53.2739)"
82.478,21.1039,42.8873,990.007,195.148,"(5.90309, 7.56371, 0.305085)","(0.0122173, 0.013439, 0.0116064)","(-20.9442, -52.4408, -53.1423)"
82.814,21.1141,43.0069,990.016,194.989,"(5.92463, 7.66301, 0.211765)","(0.0201585, 0.00397062, -0.0154243)","(-20.6372, -52.5431, -53.1131)"
83.279,21.0684,42.8706,990.022,195.222,"(5.92463, 7.69651, 0.246461)","(-0.0174097, -0.0293215, 0.0213803)","(-20.3157, -52.9085, -52.9085)"
83.604,21.0988,43.0232,990.072,194.905,"(5.85284, 7.49432, 0.168694)","(0.0109956, 0.0239765, -0.00519235)","(-20.4326, -52.4554, -53.1423)"
83.928,21.0988,42.9362,990.042,195.095,"(5.94496, 7.67856, 0.0323031)","(0.0314596, -0.0311541, 0.0166461)","(-19.8772, -51.9146, -52.5577)"
84.252,21.1141,42.8056,990.024,195.021,"(5.98205, 7.63908, 0.482153)","(-0.0394008, 0.0375682, 0.0855211)","(-20.9588, -51.5639, -53.0108)"
84.579,21.109,42.9689,990.005,195.38,"(5.98564, 7.44885, 0.271585)","(0.0500909, 0.0971275, 0.00733038)","(-21.8065, -51.2569, -52.5285)"
84.906,21.109,42.8927,990.028,195.296,"(5.86959, 7.49551, 0.253639)","(-0.089339, -0.0752891, 0.0117592)","(-20.4765, -52.2362, -52.7916)"
85.237,21.1141,43.3388,990.016,195.19,"(6.00957, 7.6319, 0.574277)","(0.0146608, -0.0175624, -0.0242819)","(-19.8188, -52.2362, -54.3993)"
85.702,21.0633,43.2076,990.02,195.095,"(5.78584, 7.69292, 0.294317)","(0.066737, -0.0415388, -0.0610865)","(-19.088, -54.0631, -53.0546)"
86.03,21.0938,42.7782,990.021,194.873,"(5.56092, 7.7994, 0.196211)","(0.0348193, -0.0195477, -0.0591012)","(-17.9918, -55.2178, -53.7708)"
86.357,21.0988,42.838,990.016,194.894,"(5.60399, 7.84128, 0.405583)","(-0.0842994, -0.0600175, 0.133932)","(-19.1903, -53.4054, -53.2739)"
86.681,21.109,42.49,990.032,195.285,"(5.74277, 7.53978, 0.273978)","(0.0106901, -0.0255036, 0.013439)","(-19.7165, -53.1716, -53.8439)"
87.009,21.109,42.9525,989.983,195.676,"(5.72722, 7.64865, 0.330209)","(0.0540616, -0.00381791, -0.0372628)","(-19.7603, -53.1423, -53.3616)"
87.335,21.0988,42.7239,990.002,195.37,"(5.53818, 7.89392, 0.0861416)","(-0.0233656, -0.00794125, -0.109956)","(-17.641, -54.5162, -53.2154)"
87.668,21.0988,43.0069,990.019,195.148,"(5.46401, 8.08295, 0.34337)","(0.0731511, 0.139888, -0.0694859)","(-15.4341, -56.8401, -52.8354)"
87.995,21.0988,42.8328,990.032,195.148,"(4.71625, 8.16311, -0.141176)","(-0.127976, 0.0580322, -0.122478)","(-13.7971, -57.8047, -52.7769)"
88.45,21.0582,42.8975,990.023,195.253,"(4.98425, 8.0997, 0.599402)","(-0.0507018, -0.057574, -0.00733038)","(-14.7033, -56.9132, -55.2762)"
88.773,21.0785,42.9631,990.045,195.285,"(5.14576, 8.38445, 0.705882)","(0.190132, 0.0705549, -0.0476475)","(-13.7971, -57.8047, -54.7647)"
89.096,21.0836,42.8,990.024,195.19,"(4.99023, 8.20378, 0.673579)","(0.336281, 0.0879646, -0.0468839)","(-13.6948, -58.2724, -54.8231)"
89.42,21.0938,42.713,990.004,195.549,"(4.94477, 8.40239, 1.31964)","(-0.506102, -0.500299, -0.120646)","(-11.3417, -57.6878, -57.4393)"
89.745,21.0938,42.8544,990.037,195.296,"(5.28574, 8.7984, 1.68814)","(-0.0771217, -0.379347, -0.00885754)","(-14.1479, -56.3578, -58.5355)"
90.074,21.0988,42.7076,990.037,195.296,"(5.77148, 8.24566, 2.06142)","(0.419664, -0.0227547, 0.315054)","(-15.3902, -54.8378, -59.1786)"
90.397,21.0887,43.2406,990.001,195.285,"(5.6339, 9.23629, 1.09711)","(-0.511752, -0.595288, -0.306349)","(-16.0772, -55.5247, -55.5539)"
90.851,21.0377,42.9084,990.015,195.296,"(5.06321, 8.27079, 0.764506)","(0.0803288, -0.153938, -0.0765108)","(-15.1564, -57.1763, -53.9608)"
91.175,21.0734,43.3384,990.021,195.232,"(5.09192, 7.99681, 0.552742)","(-0.055436, -0.0345139, 0.100793)","(-15.2733, -57.4101, -55.3347)"
91.5,21.0836,43.1208,990.016,195.581,"(5.16371, 8.35334, 0.308674)","(-0.000610865, -0.240986, -0.0305433)","(-15.2587, -57.2639, -54.7647)"
91.824,21.0785,43.3656,990.042,195.063,"(3.99362, 7.48594, 0.982253)","(0.0456622, -0.57177, -0.590554)","(-13.6071, -58.594, -52.2069)"
92.147,21.0887,42.9958,990.006,195.306,"(4.7665, 8.4347, 0.100498)","(-0.131031, -0.0218384, 0.0380264)","(-13.9579, -58.7547, -48.8161)"
92.482,21.0887,43.4907,990.019,195.423,"(4.84307, 8.20259, 0.234496)","(-0.0636827, -0.0251982, 0.0468839)","(-14.4548, -56.957, -52.9816)"
92.804,21.0887,43.4365,990.002,195.306,"(4.91605, 8.26002, 0.442672)","(0.0100793, 0.0510072, -0.0945314)","(-14.6448, -57.4539, -53.3177)"
93.263,21.0428,43.0281,990.083,195.222,"(4.80837, 8.37727, 0.315852)","(-0.0238237, 0.0329867, -0.0206167)","(-13.8702, -58.0093, -52.7623)"
93.587,21.0734,43.1316,989.997,195.19,"(4.90169, 8.30429, 0.448654)","(-0.0106901, -0.00442877, 0.0528398)","(-14.6887, -57.4832, -53.4931)"
93.91,21.0836,43.1916,990.006,195.285,"(4.91007, 8.30787, 0.297906)","(-0.0372628, -0.0390954, 0.0284052)","(-14.8641, -57.5855, -53.0839)"
94.234,21.0887,43.1046,989.99,195.148,"(4.92801, 8.24925, 0.407976)","(0.0265726, 0.00870483, -0.0103847)","(-14.7764, -57.2785, -52.8208)"
94.556,21.0938,43.0883,990.03,195.285,"(4.88494, 8.22652, 0.337388)","(-0.000763581, -0.0245873, 0.053298)","(-14.3525, -57.8778, -53.9024)"
94.885,21.0887,43.061,989.999,195.444,"(4.94835, 8.28275, 0.367298)","(0.00916297, -0.00167988, -0.000610865)","(-15.5218, -56.8547, -53.04)"
95.208,21.0887,43.1536,990.039,195.211,"(4.88255, 8.27916, 0.2333)","(0.0410807, -0.020464, -0.0242819)","(-14.9371, -57.7463, -52.6162)"
95.533,21.0887,43.0938,990.026,195.243,"(4.89332, 8.31745, 0.329013)","(0.0109956, 0.0279471, 0.021533)","(-14.8056, -57.8924, -52.7039)"
95.989,21.0428,43.1586,990.03,195.444,"(4.99023, 8.10568, 0.306281)","(-0.071013, -0.0120646, 0.131183)","(-15.3902, -56.7232, -52.66)"
96.312,21.0836,43.2351,989.993,195.179,"(5.1984, 8.10329, 0.45344)","(0.0407752, 0.0696386, -0.00839939)","(-16.0479, -56.5624, -54.0339)"
96.637,21.0785,43.0719,990.01,195.465,"(5.16251, 8.15115, 0.715453)","(0.0775799, 0.0259618, -0.0213803)","(-15.5218, -56.5332, -53.8585)"
96.961,21.0836,42.9413,990.021,195.211,"(4.78684, 8.16072, 0.486939)","(-0.0340557, 0.101556, 0.10064)","(-14.4987, -58.0678, -53.2739)"
97.296,21.0836,43.0338,990.01,195.127,"(5.00817, 8.15832, 0.291924)","(0.129198, -0.102778, -0.0166461)","(-15.8725, -56.957, -52.6454)"
97.621,21.0785,43.2186,990.004,195.306,"(5.00578, 8.28514, 0.168694)","(-0.141721, -0.0201585, 0.118202)","(-14.8641, -57.7901, -52.9523)"
97.945,21.0836,43.11,989.993,195.475,"(5.07996, 8.15474, 0.498903)","(-0.0416915, 0.00519235, 0.0320704)","(-15.4779, -57.7316, -54.2823)"
98.404,21.0377,43.1529,990.022,195.433,"(5.19242, 8.10329, 0.387637)","(-0.052229, 0.0456622, 0.0174097)","(-15.5949, -56.5624, -54.9839)"
98.727,21.0684,43.1097,990.038,195.327,"(5.32642, 8.27916, 0.646062)","(0.0897971, 0.089339, -0.0216857)","(-14.8056, -56.9278, -55.6416)"
99.049,21.0785,43.2404,990.001,195.57,"(5.10389, 8.05184, 0.434297)","(-0.0189368, -0.0736092, 0.0835358)","(-15.4633, -57.0739, -54.1216)"
99.375,21.0734,43.0338,990.011,195.401,"(5.34796, 8.16072, 0.336191)","(-0.000305433, -0.0169515, -0.0320704)","(-15.0102, -57.1032, -54.0924)"
99.704,21.0684,43.3546,990.049,195.401,"(5.0668, 8.21934, 0.451047)","(0.0760527, 0.043066, -0.081245)","(-14.8056, -57.4978, -53.0985)"
